_id,text,created_at,coordinates,source,geo
ObjectId(5728f303e6ad0c29540b2c2a),"RT @NateSilver538: You know how you've heard again and again that Trump's supporters are ""working class""? That's mostly BS. https://t.co/eh…",2016-05-03T18:50:44.000Z,"",Tweetbot for iΟS,""
ObjectId(5728f303e6ad0c29540b2c2b),Here Is Why Confidence Will Always Trump IQ https://t.co/yWxJk4LfIa,2016-05-03T18:50:44.000Z,"",Hootsuite,""
ObjectId(5728f303e6ad0c29540b2c2c),"Nuestra primer videoconferencia para formar iMisión Mx, hoy en el día de la cruz, que mejor que… https://t.co/D39sqxW2P8",2016-05-03T18:50:44.000Z,"",Instagram,""
ObjectId(5728f303e6ad0c29540b2c2d),"@AP Trump's dad wasn't a commie, @tedcruz can't say that, why do you want a commie's son for president??",2016-05-03T18:50:44.000Z,"",Twitter Web Client,""
ObjectId(5728f303e6ad0c29540b2c2e),RT @Conservative352: And @foxandfriends didn't even bother to challenge it.  Journalism is dead.  https://t.co/f7QQhABg8E,2016-05-03T18:50:44.000Z,"",Twitter for iPhone,""
ObjectId(5728f304e6ad0c29540b2c2f),"@RonNehring My friend, also a navy seaman watched this picture being taken. He said it was definitely Cruz.",2016-05-03T18:50:44.000Z,"",Twitter Web Client,""
ObjectId(5728f304e6ad0c29540b2c30),"RT @Jessthesav: David Bowie died at age 69
Alan Rickman died at age 69
Donald Trump is 69 so any day now...",2016-05-03T18:50:44.000Z,"",Twitter Web Client,""
ObjectId(5728f304e6ad0c29540b2c31),RT @razshafer: Fantastic statement from Cruz https://t.co/bCORuH0XMu,2016-05-03T18:50:44.000Z,"",Twitter for iPad,""
ObjectId(5728f304e6ad0c29540b2c32),RT @TaraSetmayer: Shame on Them: CNN Pundit Rips Fox for Letting Trump Get Away With Citing 'Tabloid Trash' https://t.co/TOwWHLhRbs via @me…,2016-05-03T18:50:44.000Z,"",Twitter for iPhone,""
ObjectId(5728f304e6ad0c29540b2c33),Why in the hell would u say that tf things dumb people say u know people can hurt u for that just dumb https://t.co/euH9QZkMp3,2016-05-03T18:50:44.000Z,"",Twitter for Android,""
