_id,text,created_at,coordinates,source,geo
ObjectId(5728ff53e6ad0c093caad226),"Jugársela a cara o cruz, luchando contigo mismo y forzandote para aguantar, aun q te creas que… https://t.co/FqeVy6JFfE",2016-05-03T19:43:15.000Z,"{""type"":""Point"",""coordinates"":[-0.3646134,38.44877111]}",Instagram,"{""type"":""Point"",""coordinates"":[38.44877111,-0.3646134]}"
ObjectId(5728ff82e6ad0c093caad227),Festejando el Día de la Santa Cruz (@ Camara Mexicana De La Industria De La Contrucción (CMIC) - @cmicveracruz) https://t.co/VrXrOxfMKp,2016-05-03T19:44:02.000Z,"{""type"":""Point"",""coordinates"":[-96.10888427,19.15819242]}",Foursquare,"{""type"":""Point"",""coordinates"":[19.15819242,-96.10888427]}"
ObjectId(5728ff84e6ad0c093caad228),@amazingatheist they say you get the leaders you deserve. So what has USA done to deserve either Trump or Clinton???,2016-05-03T19:44:04.000Z,"{""type"":""Point"",""coordinates"":[-3.06576565,53.21676671]}",Twitter for iPhone,"{""type"":""Point"",""coordinates"":[53.21676671,-3.06576565]}"
ObjectId(5728ffbde6ad0c093caad229),"#Trump in 2016 Temp:Crab Orchard, Ky."":61.9°F Wind:3.4mph Pressure: 29.91hpa Steady Rain Today 0.00in.  Forecast: Fine, possible showers",2016-05-03T19:45:02.000Z,"{""type"":""Point"",""coordinates"":[-84.51194444,37.47472222]}",Sandaysoft Cumulus,"{""type"":""Point"",""coordinates"":[37.47472222,-84.51194444]}"
ObjectId(5728ffc3e6ad0c093caad22a),"#tedcruzisthezodiackiller @ Santa Cruz, California https://t.co/L8gVeyM6sB",2016-05-03T19:45:07.000Z,"{""type"":""Point"",""coordinates"":[-122.02638889,36.97194444]}",Instagram,"{""type"":""Point"",""coordinates"":[36.97194444,-122.02638889]}"
ObjectId(5728ffd7e6ad0c093caad22b),Zodiac Killer: Origins https://t.co/rvQa49nFza,2016-05-03T19:45:27.000Z,"{""type"":""Point"",""coordinates"":[-73.98354054,40.68925196]}",Twitter for iPhone,"{""type"":""Point"",""coordinates"":[40.68925196,-73.98354054]}"
ObjectId(57290037e6ad0c093caad22c),Focusing on the beauty of spring rather than petty Trump campaign things👌🏼🌷 #collegethings… https://t.co/4DVnxB7phS,2016-05-03T19:47:04.000Z,"{""type"":""Point"",""coordinates"":[-76.49608813,42.42200558]}",Instagram,"{""type"":""Point"",""coordinates"":[42.42200558,-76.49608813]}"
ObjectId(5729007ce6ad0c093caad22d),#crucesdemayo en Santa Cruz. @ Rambla Santa Cruz https://t.co/JIFdBj3EKq,2016-05-03T19:48:12.000Z,"{""type"":""Point"",""coordinates"":[-16.2602823,28.4687272]}",Instagram,"{""type"":""Point"",""coordinates"":[28.4687272,-16.2602823]}"
ObjectId(572900c6e6ad0c093caad22e),@politico Trump is a scumbag...,2016-05-03T19:49:27.000Z,"{""type"":""Point"",""coordinates"":[-81.6681114,26.04169367]}",Twitter for iPad,"{""type"":""Point"",""coordinates"":[26.04169367,-81.6681114]}"
ObjectId(572900dee6ad0c093caad22f),"I'm at California in Santa Cruz, CA https://t.co/57pXUJslpi",2016-05-03T19:49:51.000Z,"{""type"":""Point"",""coordinates"":[-118.4765625,35.71083784]}",Foursquare,"{""type"":""Point"",""coordinates"":[35.71083784,-118.4765625]}"
ObjectId(57290112e6ad0c093caad230),"Quinteo!! #quintadelacruz #friends #familytime #alberca #domingo @ Quinta ""De La Cruz"" https://t.co/NG5tUmzHoh",2016-05-03T19:50:43.000Z,"{""type"":""Point"",""coordinates"":[-100.09220102,25.66213314]}",Instagram,"{""type"":""Point"",""coordinates"":[25.66213314,-100.09220102]}"
ObjectId(57290168e6ad0c093caad231),"@seanhannnity 
100 muslims arrested in fla4 child abuse r the disney&amp;other workers CRUZ brought here 2 take am jobs
Shd live on his street",2016-05-03T19:52:08.000Z,"{""type"":""Point"",""coordinates"":[-74.7028583,39.8935361]}",Twitter for Android,"{""type"":""Point"",""coordinates"":[39.8935361,-74.7028583]}"
ObjectId(57290187e6ad0c093caad232),"Against @ggreenwald Resigning to Public ""Suffering"" of Trump and Clinton https://t.co/XFmAiAGmn3 @votepact",2016-05-03T19:52:40.000Z,"{""type"":""Point"",""coordinates"":[-77.03172234,38.89711375]}",Twitter for iPhone,"{""type"":""Point"",""coordinates"":[38.89711375,-77.03172234]}"
ObjectId(5729019ee6ad0c093caad233),Cucú cantaba la rana...🎼🎼🎼🎤 @ Rambla Santa Cruz https://t.co/vvSpOhH8ab,2016-05-03T19:53:02.000Z,"{""type"":""Point"",""coordinates"":[-16.2602823,28.4687272]}",Instagram,"{""type"":""Point"",""coordinates"":[28.4687272,-16.2602823]}"
